meeting_date,asof_date,exp_rate_bp,var_bp2,p_tail_cut,p_tail_hike,top1_mid_bp,top1_prob,top2_mid_bp,top2_prob,days_to_meeting
2025-12-10,2025-04-16,347.4464900535099,726.2140104687527,0.2048267951732048,0.1508338491661508,337.5,0.35014964985035013,362.5,0.29418970581029413,238
2025-12-10,2025-04-17,349.80353730353727,705.7494519469482,0.17533617533617532,0.16822416822416822,337.5,0.34619134619134617,362.5,0.31024831024831023,237
2025-12-10,2025-04-21,341.35724614275387,640.4947468211158,0.26842773157226846,0.09243290756709244,337.5,0.38264161735838265,362.5,0.2564977435022565,233
2025-12-10,2025-04-22,349.3035368035368,687.1629704140038,0.17744117744117743,0.16056616056616058,337.5,0.3527663527663528,362.5,0.3092263092263092,232
2025-12-10,2025-04-23,356.8035943035943,739.2317338227285,0.11569611569611571,0.24615524615524617,362.5,0.3384353384353384,337.5,0.29971329971329974,231
2025-12-10,2025-04-24,350.8571,709.8716295900001,0.164963,0.17874900000000002,337.5,0.340469,362.5,0.315819,230
2025-12-10,2025-04-25,348.85715,703.1851438775,0.184876,0.15911,337.5,0.350623,362.5,0.305391,229
2025-12-10,2025-04-28,344.017825,628.807332269375,0.233186,0.10930799999999999,337.5,0.384647,362.5,0.272859,226
2025-12-10,2025-04-29,340.07147242852756,593.5600543767976,0.28345771654228347,0.07901292098707899,337.5,0.3969226030773969,312.5,0.26085873914126084,225
2025-12-10,2025-04-30,335.5714230714231,489.45670920667897,0.01911801911801912,0.23950923950923952,337.5,0.4160814160814161,312.5,0.3252913252913253,224
2025-12-10,2025-05-01,346.0178414821585,629.3381745930214,0.20579979420020578,0.12344287655712344,337.5,0.38046561953438046,362.5,0.29029170970829027,223
2025-12-10,2025-05-02,359.4106719106719,675.5823620827986,0.08181608181608181,0.2660802660802661,362.5,0.36361736361736363,337.5,0.2884862884862885,222
2025-12-10,2025-05-05,362.46432496432493,664.4487667418691,0.05968705968705969,0.3036053036053036,362.5,0.3722823722823723,337.5,0.26442526442526443,219
2025-12-10,2025-05-06,356.517825,624.331707269375,0.089892,0.22083899999999998,362.5,0.365175,337.5,0.324094,218
2025-12-10,2025-05-07,359.62497500000006,597.409856249375,0.059656,0.252774,362.5,0.385872,337.5,0.301698,217
2025-12-10,2025-05-08,370.73095,655.7639620975001,0.20988600000000002,0.124545,362.5,0.364941,387.5,0.300628,216
2025-12-10,2025-05-09,370.74210824210826,660.9308805886003,0.2112162112162112,0.12590412590412592,362.5,0.3635213635213635,387.5,0.2993582993582994,215
2025-12-10,2025-05-12,381.981375,626.5079031093751,0.094788,0.234574,387.5,0.373659,362.5,0.296979,212
2025-12-10,2025-05-13,385.512725,630.7926130743749,0.073543,0.283733,387.5,0.380044,362.5,0.26268,211
2025-12-10,2025-05-14,389.459125,642.097454234375,0.280503,0.073025,387.5,0.373298,412.5,0.273174,210
2025-12-10,2025-05-15,383.6309,632.36756519,0.084857,0.257739,387.5,0.376041,362.5,0.281363,209
2025-12-10,2025-05-16,386.6086991086991,627.3887109042944,0.06703006703006703,0.2992422992422992,387.5,0.38164138164138167,362.5,0.25208625208625207,208
2025-12-10,2025-05-19,384.597625,610.783094359375,0.07383,0.266124,387.5,0.385659,362.5,0.274387,205
2025-12-10,2025-05-20,384.4846,587.52111284,0.068982,0.259317,387.5,0.39119,362.5,0.280511,204
2025-12-10,2025-05-21,387.419875,592.936704984375,0.055261,0.303755,387.5,0.392272,412.5,0.249184,203
2025-12-10,2025-05-22,387.91985,590.0012259775001,0.295306,0.055881,387.5,0.393293,412.5,0.25552,202
2025-12-10,2025-05-23,389.4623019623019,586.6699615293364,0.2721902721902722,0.06351706351706352,387.5,0.3928543928543928,412.5,0.27143827143827143,201
2025-12-10,2025-05-27,388.753125,570.004052734375,0.281702,0.057708,387.5,0.39821,412.5,0.26238,197
2025-12-10,2025-05-28,392.242025,571.178823899375,0.23278200000000002,0.078131,387.5,0.388622,412.5,0.300465,196
2025-12-10,2025-05-29,387.29560000000004,561.28822064,0.048043999999999996,0.29441,387.5,0.401673,362.5,0.255873,195
2025-12-10,2025-05-30,383.83647499999995,564.311709574375,0.066243,0.24438100000000001,387.5,0.395974,362.5,0.293402,194
2025-12-10,2025-06-02,387.2532247532247,573.6315506700277,0.05096705096705096,0.2964672964672964,387.5,0.39679539679539677,362.5,0.25577025577025575,191
2025-12-10,2025-06-03,388.19962430037566,574.5355758132738,0.29168470831529164,0.056687943312056684,387.5,0.3969536030463969,412.5,0.25467374532625464,190
2025-12-10,2025-06-04,381.4122939122939,568.2891899390615,0.08315708315708316,0.21357821357821355,387.5,0.3847113847113847,362.5,0.3185533185533185,189
2025-12-10,2025-06-05,383.86982863017136,591.1743764731559,0.07376192623807375,0.2517067482932517,387.5,0.38684461315538676,362.5,0.2876867123132877,188
2025-12-10,2025-06-06,393.048,553.2821959999999,0.219775,0.081423,387.5,0.392687,412.5,0.306115,187
2025-12-10,2025-06-09,392.1016000000001,553.1665274400001,0.23276000000000005,0.07545300000000002,387.5,0.39655700000000005,412.5,0.29523000000000005,184
2025-12-10,2025-06-10,393.09047499999997,539.730964274375,0.216164,0.078952,387.5,0.39833,412.5,0.306554,183
2025-12-10,2025-06-11,388.21977499999997,547.231298949375,0.28811,0.05304,387.5,0.407119,412.5,0.251731,182
2025-12-10,2025-06-12,384.75315,553.2235650775001,0.058943,0.254419,387.5,0.402311,362.5,0.284327,181
2025-12-10,2025-06-13,388.0627,564.14336871,0.293837,0.055098,387.5,0.399325,412.5,0.25174,180
2025-12-10,2025-06-16,391.09052499999996,541.050005224375,0.24537799999999999,0.06762,387.5,0.404372,412.5,0.28263,177
2025-12-10,2025-06-17,392.60159999999996,552.57617744,0.225566,0.078387,387.5,0.395032,412.5,0.301015,176
2025-12-10,2025-06-18,390.57937499999997,525.4405746093751,0.25022500000000003,0.062122,387.5,0.411774,412.5,0.275879,175
2025-12-10,2025-06-20,386.7404757595242,505.6594916917609,0.03522396477603522,0.2715007284992714,387.5,0.42030457969542023,362.5,0.27297072702927294,173
2025-12-10,2025-06-23,379.744075,484.420002394375,0.069946,0.172107,387.5,0.396251,362.5,0.361696,170
2025-12-10,2025-06-24,377.81427500000007,451.006106224375,0.072407,0.142352,362.5,0.398658,387.5,0.386583,169
2025-12-10,2025-06-25,375.2643122356877,456.0085892136155,0.10125989874010125,0.11888488111511886,362.5,0.4156515843484156,387.5,0.36420363579636417,168
2025-12-10,2025-06-26,371.95832499999995,383.061963194375,0.106004,0.074655,362.5,0.48841,387.5,0.330931,167
2025-12-10,2025-06-27,373.475025,392.45320124937496,0.090969,0.088472,362.5,0.473224,387.5,0.347335,166
