date,value,value
2025-02-12,340.0726408430583,value
2025-02-13,340.0515602425957,value
2025-02-14,340.0304796421331,value
2025-02-15,340.00939904167046,value
2025-02-16,339.98831844120787,value
2025-02-17,339.96723784074527,value
2025-02-18,339.9461572402827,value
2025-02-19,339.9250766398201,value
2025-02-20,339.9039960393575,value
2025-02-21,339.8829154388948,value
2025-02-22,339.86183483843223,value
2025-02-23,339.84075423796963,value
2025-02-24,339.81967363750704,value
2025-02-25,339.79859303704444,value
2025-02-26,339.77751243658184,value
2025-02-27,339.7564318361192,value
2025-02-28,339.7353512356566,value
2025-03-01,339.714270635194,value
2025-03-02,339.67585413986586,value
2025-03-03,339.63743764453767,value
2025-03-04,339.59902114920953,value
2025-03-05,339.56060465388134,value
2025-03-06,339.5221881585532,value
2025-03-07,339.483771663225,value
2025-03-08,339.4453551678969,value
2025-03-09,339.4069386725687,value
2025-03-10,339.36852217724055,value
2025-03-11,339.33010568191236,value
2025-03-12,339.2916891865842,value
2025-03-13,339.2532726912561,value
2025-03-14,339.2148561959279,value
2025-03-15,339.17643970059976,value
2025-03-16,339.13802320527157,value
2025-03-17,339.09960670994343,value
2025-03-18,339.06119021461524,value
2025-03-19,339.0227737192871,value
2025-03-20,338.9843572239589,value
2025-03-21,338.9459407286308,value
2025-03-22,338.90752423330264,value
2025-03-23,338.86910773797445,value
2025-03-24,338.8306912426463,value
2025-03-25,338.7922747473181,value
2025-03-26,338.75385825199,value
2025-03-27,338.7154417566618,value
2025-03-28,338.67702526133365,value
2025-03-29,338.63860876600546,value
2025-03-30,338.6001922706773,value
2025-03-31,338.56177577534913,value
2025-04-01,338.523359280021,value
2025-04-02,338.486771600979,value
2025-04-03,338.45018392193697,value
2025-04-04,338.413596242895,value
2025-04-05,338.377008563853,value
2025-04-06,338.340420884811,value
2025-04-07,338.30383320576897,value
2025-04-08,338.267245526727,value
2025-04-09,338.230657847685,value
2025-04-10,338.194070168643,value
2025-04-11,338.15748248960097,value
2025-04-12,338.120894810559,value
2025-04-13,338.084307131517,value
2025-04-14,338.047719452475,value
2025-04-15,338.01113177343296,value
2025-04-16,337.974544094391,value
2025-04-17,337.937956415349,value
2025-04-18,337.90136873630695,value
2025-04-19,337.86478105726496,value
2025-04-20,337.828193378223,value
2025-04-21,337.791605699181,value
2025-04-22,337.75501802013895,value
2025-04-23,337.71843034109696,value
2025-04-24,337.681842662055,value
2025-04-25,337.645254983013,value
2025-04-26,337.60866730397095,value
2025-04-27,337.57207962492896,value
2025-04-28,337.535491945887,value
2025-04-29,337.498904266845,value
2025-04-30,337.46231658780295,value
2025-05-01,337.42572890876096,value
2025-05-02,337.39825670295113,value
2025-05-03,337.37078449714136,value
2025-05-04,337.34331229133153,value
2025-05-05,337.31584008552176,value
2025-05-06,337.2883678797119,value
2025-05-07,337.26089567390216,value
2025-05-08,337.2334234680923,value
2025-05-09,337.2059512622825,value
2025-05-10,337.1784790564727,value
2025-05-11,337.1510068506629,value
2025-05-12,337.1235346448531,value
2025-05-13,337.0960624390433,value
2025-05-14,337.06859023323346,value
2025-05-15,337.0411180274237,value
2025-05-16,337.01364582161386,value
2025-05-17,336.9861736158041,value
2025-05-18,336.95870140999426,value
2025-05-19,336.9312292041845,value
2025-05-20,336.90375699837466,value
2025-05-21,336.87628479256483,value
2025-05-22,336.84881258675506,value
2025-05-23,336.82134038094523,value
2025-05-24,336.79386817513546,value
2025-05-25,336.76639596932563,value
2025-05-26,336.7389237635158,value
2025-05-27,336.711451557706,value
2025-05-28,336.6839793518962,value
2025-05-29,336.6565071460864,value
2025-05-30,336.6290349402766,value
2025-05-31,336.6015627344668,value
2025-06-01,336.574090528657,value
