OBJECTID,BASE_YEAR,SIGUNGU_CD,SIGUNGU_NM,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance,sigungu,gas_station_count
242,2015,38380,함양군,1032,9852,9.546511628,7,9.021065326,0,57,57,24,5,50,81.37961961,,0
243,2015,38390,거창군,1146,13149,11.47382199,8,9.801775076,0,62,62,28,7,58,96.07479464,거창군,5
244,2015,38400,합천군,1409,15144,10.74804826,9,6.142358783,5,54,49,37,7,39,37.72857142,,0
245,2015,39010,제주시,1400,27708,19.79142857,15,15.09449041,0,62,62,0,6,59,227.8436408,제주시,9
246,2015,39020,서귀포시,1235,23409,18.95465587,14,13.77668807,0,60,60,0,6,57,189.7971342,서귀포시,31
247,2015,32400,고성군,1023,12681,12.39589443,9,11.53475189,0,59,59,4,0,55,133.0505012,,0
248,2015,31200,파주시,1013,45518,44.93385982,48,16.26582512,11,63,52,11,63,53,264.5770667,,0
249,2015,32360,철원군,1385,19744,14.25559567,12,8.85403166,0,52,52,50,6,49,78.39387663,철원군,2
250,2015,31350,연천군,1281,22895,17.87275566,16,12.72394275,0,61,61,53,0,56,161.8987191,,0
251,2015,32380,양구군,1048,11325,10.80629771,9,8.774185682,0,57,57,31,6,48,76.98633438,,0
252,2015,32370,화천군,1332,8848,6.642642643,6,5.862789073,0,41,41,4,0,35,34.37229572,,0
