OBJECTID,BASE_YEAR,SIGUNGU_CD,SIGUNGU_NM,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance,sigungu,gas_station_count
100,2015,31140,오산시,61,3829,62.77049180327869,63.0,0.4578439358612773,61,63,2,61,63,3,0.2096210696049454,,0
101,2015,31150,시흥시,211,13149,62.31753554502369,63.0,2.429796393556359,41,63,22,41,63,11,5.903910514139488,,0
102,2015,31160,군포시,54,3388,62.74074074074074,63.0,0.4382281320814537,62,63,1,62,63,2,0.1920438957476,,0
103,2015,31170,의왕시,78,4815,61.73076923076923,62.0,1.297661376981553,57,63,6,57,62,7,1.68392504930966,,0
104,2015,31180,하남시,142,8358,58.85915492957746,61.0,4.855070747364276,41,63,22,41,62,21,23.57171196191231,,0
105,2015,31191,용인시처인구,684,32511,47.53070175438597,50.0,12.53873269657647,17,63,46,17,62,47,157.2198176361958,,0
106,2015,31192,용인시기흥구,117,7323,62.58974358974359,63.0,0.7297563831157781,58,63,5,58,63,5,0.5325443786982222,,0
107,2015,31193,용인시수지구,64,4002,62.53125,63.0,1.158781013608697,58,63,5,59,63,6,1.3427734375,,0
108,2015,31210,이천시,672,31356,46.66071428571428,48.0,11.74167909888638,22,62,40,23,62,41,137.8670280612252,이천시,1
109,2015,31220,안성시,811,30239,37.28606658446363,37.0,15.00076580669065,11,62,51,11,61,52,225.0229747871795,안성시,3
110,2015,31230,김포시,412,23484,57.0,62.0,8.237081677578947,28,63,35,28,63,35,67.8495145631068,김포시,2
111,2015,31240,화성시,1029,55611,54.04373177842566,59.0,9.941374902710358,15,63,48,15,61,44,98.83093495623937,,0
112,2015,31250,광주시,629,32043,50.94276629570747,55.0,11.32536158023774,19,63,44,19,61,44,128.263814923125,,0
113,2015,31260,양주시,454,25842,56.92070484581498,60.0,6.674487123204141,27,63,36,27,62,32,44.54877835781789,양주시,5
114,2015,31270,포천시,1214,45002,37.06919275123558,38.0,14.3802270149808,5,62,57,5,45,58,206.7909290023837,포천시,3
115,2015,31280,여주시,895,23654,26.42905027932961,22.0,14.55527874420464,8,61,53,61,9,54,211.8561393214953,여주시,1
116,2015,31370,가평군,1244,22745,18.28376205787781,16.0,11.31025599489557,5,56,51,49,7,52,127.9218906700713,,0
117,2015,31380,양평군,1283,24586,19.16289945440374,14.0,12.74930511804499,6,59,53,56,9,54,162.544780993008,양평군,4
118,2015,32010,춘천시,1655,32053,19.36737160120846,13.0,16.75057176399732,0,63,63,45,6,60,280.5816544208243,,0
119,2015,32020,원주시,1279,30884,24.14698983580923,17.0,17.63996559434174,0,62,62,0,9,59,311.1683861695603,원주시,6
120,2015,32030,강릉시,1538,25858,16.81274382314695,8.0,17.92500034406955,0,63,63,48,6,60,321.3056373348936,강릉시,18
121,2015,32040,동해시,267,7506,28.1123595505618,21.0,22.53275844291493,0,62,62,17,0,56,507.7252030467538,,0
122,2015,32050,태백시,435,9092,20.90114942528736,15.0,15.51689842107166,0,61,61,4,6,57,240.7741366098562,,0
123,2015,32060,속초시,161,4498,27.93788819875776,21.0,23.64296789626935,0,62,62,11,0,49,558.9899309440232,속초시,3
124,2015,32070,삼척시,1742,16679,9.574626865671641,7.0,9.99166697888361,0,61,61,35,5,55,99.8334090169131,,0
125,2015,32310,홍천군,2671,27272,10.21040808685885,8.0,9.687744647317208,0,60,60,60,0,57,93.85239635162323,홍천군,6
126,2015,32320,횡성군,1463,18443,12.60628844839371,8.0,10.48754174647176,0,58,58,58,7,52,109.988531883988,횡성군,4
127,2015,32330,영월군,1642,13671,8.325822168087697,6.0,7.935438527035922,0,56,56,4,0,53,62.97118461636604,영월군,1
128,2015,32340,평창군,2152,21996,10.22118959107807,7.0,10.92294560053781,0,59,59,54,0,56,119.3107405923083,,0
129,2015,32350,정선군,1774,15664,8.829763246899661,6.0,10.48025438441196,0,61,61,4,0,56,109.8357319619862,,0
130,2015,32390,인제군,2424,12135,5.006188118811881,5.0,6.325889336575913,0,41,41,27,0,38,40.01687589860484,,0
131,2015,32410,양양군,939,8342,8.8839190628328,5.0,11.95885505585338,0,51,51,47,0,48,143.01421424691,,0
132,2015,33020,충주시,1434,32489,22.65620641562064,18.0,15.01258211870699,5,62,57,40,13,58,225.3776218709208,충주시,5
133,2015,33030,제천시,1284,20562,16.01401869158878,10.0,14.25561450479458,0,62,62,41,7,59,203.2225449093095,,0
134,2015,33041,청주시상당구,582,14749,25.34192439862543,21.0,14.73447444567198,8,63,55,8,13,55,217.1047371901607,,0
135,2015,33042,청주시서원구,180,9338,51.87777777777778,53.0,8.582705838264117,28,63,35,28,63,35,73.66283950617296,,0
136,2015,33043,청주시흥덕구,283,14838,52.43109540636043,58.0,11.92636512182848,16,63,47,18,63,47,142.2381850191668,,0
137,2015,33044,청주시청원구,317,14604,46.06940063091483,47.0,12.6269544429807,19,63,44,26,58,45,159.43997850511,,0
138,2015,33320,보은군,845,12647,14.96686390532544,12.0,8.261343085309692,0,53,53,4,10,48,68.24978957319425,,0
139,2015,33330,옥천군,786,13397,17.04452926208651,12.0,11.63292693843627,6,60,54,6,9,53,135.3249891549963,옥천군,4
140,2015,33340,영동군,1229,14860,12.09113100081367,10.0,7.345467560073032,5,54,49,37,6,46,53.95589367608526,,0
141,2015,33350,진천군,588,17272,29.37414965986395,25.0,14.45057769452464,10,61,51,58,14,52,208.8191957054932,진천군,1
142,2015,33360,괴산군,1213,13963,11.51112943116241,9.0,7.063666409392623,0,50,50,38,9,43,49.89538314318168,,0
143,2015,33370,음성군,761,24459,32.14060446780552,29.0,15.07902770866083,9,61,52,9,13,53,227.3770766385611,음성군,9
144,2015,33380,단양군,1143,11189,9.78915135608049,7.0,9.070164210606265,0,50,50,36,6,46,82.26787880736278,단양군,5
145,2015,33390,증평군,119,4281,35.97478991596638,35.0,14.20584693500316,10,59,49,10,45,48,201.8060871407387,,0
146,2015,34011,천안시동남구,637,20344,31.93720565149136,26.0,17.78342975866169,9,63,54,31,13,55,316.2503739812543,,0
147,2015,34012,천안시서북구,285,15106,53.00350877192982,58.0,11.43417415320026,12,63,51,12,63,43,130.7403385657129,,0
148,2015,34020,공주시,1254,25605,20.41866028708134,17.0,12.45947828611242,7,61,54,47,8,54,155.2385991621069,,0
149,2015,34030,보령시,877,14173,16.16077537058153,11.0,12.59311184693641,0,59,59,42,8,55,158.5864659894502,보령시,6
150,2015,34040,아산시,786,31745,40.3880407124682,41.0,15.69536031274666,9,63,54,9,62,55,246.3443353469431,아산시,9
151,2015,34050,서산시,1063,24928,23.45061147695202,20.0,13.9069328698397,0,62,62,50,13,58,193.4027818462278,서산시,1
152,2015,34060,논산시,800,21375,26.71875,25.0,12.61436278364864,8,60,52,53,19,53,159.1221484375,,0
153,2015,34070,계룡시,81,3347,41.32098765432099,41.0,12.22709716970379,18,60,42,26,45,34,149.5019051973784,,0
154,2015,34080,당진시,1030,26223,25.45922330097087,22.0,13.78058953530029,8,61,53,47,9,54,189.904647940428,당진시,4
155,2015,34310,금산군,834,17947,21.51918465227818,18.0,12.96842656549393,6,60,54,53,9,55,168.1800875846087,,0
156,2015,34330,부여군,907,15901,17.53142227122381,13.0,11.29429193360275,6,59,53,50,11,54,127.5610302814442,,0
